Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.834,3.236.218.190,192.168.23.89,21,80,17,14,1,87,3,11,0,0,0,0
0.834,91.210.58.151,192.168.23.89,273,10,13835,40,1,0,76,203,0,0,0,0
0.834,156.154.76.145,192.168.23.89,62,75,141842,15,1,73,9,35,0,0,0,0
0.834,136.175.200.177,192.168.23.89,32,10,12,40,1,0,12,24,0,0,0,0
0.834,136.75.200.177,192.168.23.89,33,12,12,40,1,0,13,24,0,0,0,0
0.834,51.222.17.204,192.168.23.89,101,10,27,40,1,0,50,75,0,0,0,0
0.834,143.110.240.149,192.168.23.89,36,15,18,40,1,0,5,24,0,0,0,0
0.834,74.91.116.12,192.168.23.89,32,10,13,40,1,0,6,24,0,0,0,0
0.834,135.148.73.232,192.168.23.89,45,11,20,40,1,0,19,33,0,0,0,0
0.834,51.81.81.198,192.168.23.89,29,12,14,40,1,0,6,21,0,0,0,0
0.834,192.223.30.92,192.168.23.89,37,11,12,40,1,0,11,27,0,0,0,0
0.834,162.144.50.35,192.168.23.89,143,12,49842,80,1,0,58,104,0,0,0,0
0.834,213.179.198.26,192.168.23.89,111,11,297,40,1,0,35,81,0,0,0,0
0.834,74.208.255.134,192.168.23.89,36,12,9,40,1,0,12,26,0,0,0,0
0.834,139.99.0.25,192.168.23.89,32,79,13,18,1,80,3,18,0,0,0,0
0.834,45.56.96.224,192.168.23.89,72,10,1021,40,1,0,32,54,0,0,0,0
0.834,135.148.73.254,192.168.23.89,122,15,142,40,1,0,42,83,0,0,0,0
0.834,192.99.243.220,192.168.23.89,38,12,22,40,1,0,12,27,0,0,0,0
0.834,51.170.114.73,192.168.23.89,111,22,56,40,1,0,39,66,0,0,0,0
0.834,144.217.62.155,192.168.23.89,52,10,3588,40,1,0,18,39,0,0,0,0
0.834,167.114.112.0,192.168.23.89,76,10,633,40,1,0,34,57,0,0,0,0
0.834,5.196.171.205,192.168.23.89,28,12,13,40,1,0,9,20,0,0,0,0
0.834,198.38.84.130,192.168.23.89,36,16,13,40,1,0,9,24,0,0,0,0
0.834,135.148.73.175,192.168.23.89,82,8,57102,40,1,0,27,64,0,0,0,0
0.834,104.21.20.202,192.168.23.89,36,16,13,40,2,0,11,24,0,0,0,0
0.834,192.99.124.18,192.168.23.89,52,10,212463,40,1,0,24,39,0,0,0,0
0.834,145.102.6.88,192.168.23.89,25,76,259132,72,1,72,2,14,0,0,0,0
0.834,193.218.118.145,192.168.23.89,46,78,9,7,1,80,5,34,0,0,0,0
0.834,142.252.252.152,192.168.23.89,36,10,3,40,1,0,15,27,0,0,0,0
0.834,82.102.30.168,192.168.23.89,54,78,2,7,3,80,6,41,0,0,0,0
0.834,156.154.77.145,192.168.23.89,37,75,173416,11,1,73,5,27,0,0,0,0
0.834,109.70.100.67,192.168.23.89,73,78,11,7,1,80,7,55,0,0,0,0
0.834,162.158.180.26,192.168.23.89,22,70,898662,9,1,67,4,14,0,0,0,0
0.834,107.189.9.168,192.168.23.89,73,79,8,7,1,80,9,64,0,0,0,0
0.834,3.239.153.164,192.168.23.89,24,78,8,7,1,80,3,20,0,0,0,0
0.834,3.239.152.248,192.168.23.89,24,78,14,7,1,80,2,20,0,0,0,0
0.834,3.209.84.118,192.168.23.89,29,79,9,7,1,80,3,25,0,0,0,0
0.834,134.224.56.218,192.168.23.89,28,10,8,40,1,0,12,21,0,0,0,0
0.834,44.234.76.54,192.168.23.89,181,10,500,40,1,0,70,135,0,0,0,0
0.834,44.235.144.250,192.168.23.89,136,10,525,40,1,0,49,102,0,0,0,0
0.834,108.160.137.221,192.168.23.89,35,76,1608,7,1,80,4,19,0,0,0,0
0.834,193.84.88.82,192.168.23.89,57,12,7,40,1,0,25,41,0,0,0,0
0.834,103.54.219.106,192.168.23.89,305,74,24,2060,9,48,294,217,0,0,0,0
0.833,37.49.225.117,192.168.23.89,34,221,13,265,1,278,14,19,0,0,0,0
0.832,212.70.149.71,192.168.23.89,3184,71,1724,1612,110,60,934,2980,0,0,1,0
0.832,192.168.23.89,212.70.149.71,3005,104,7209,45408,110,88,930,2965,0,0,1,0
0.829,89.203.193.220,192.168.23.89,738,13,7504,40,1,0,240,526,0,0,1,0
0.829,5.182.209.23,192.168.23.89,216,12,328,40,1,0,60,155,0,0,1,0
0.829,172.67.196.200,192.168.23.89,173,12,623,40,1,0,61,125,0,0,1,0
0.829,92.61.240.162,192.168.23.89,97,76,131907,12,1,73,6,48,0,0,0,1
0.828,61.219.11.153,192.168.23.89,150,90,233766,638,121,40,68,100,0,0,1,0
0.828,198.50.162.229,192.168.23.89,24,11,532111,44,8,0,7,18,0,0,1,0
0.828,144.172.67.111,192.168.23.89,43,13,97,40,1,0,8,30,0,0,1,0
0.828,44.224.107.180,192.168.23.89,44,10,472,40,1,0,13,33,0,0,1,0
0.828,51.210.19.6,192.168.23.89,85,16,1146,40,1,0,12,58,0,0,1,0
0.828,3.238.248.86,192.168.23.89,28,79,18,11,2,84,2,17,0,0,1,0
0.828,13.57.180.83,192.168.23.89,75,82,20801,12,1,85,4,50,0,0,1,0
0.828,18.134.255.251,192.168.23.89,29,79,10,7,1,80,2,25,0,0,1,0
0.828,94.250.213.46,192.168.23.89,51,18,10,40,1,0,11,33,0,0,1,0
0.828,5.226.137.175,192.168.23.89,29,24,408770,40,4,0,6,16,0,0,1,0
0.828,68.73.215.160,192.168.23.89,36,10,9,40,7,0,1,27,0,0,1,0
0.828,104.18.20.201,192.168.23.89,137,11,51045,40,1,0,31,101,0,0,1,0
0.828,31.42.187.127,192.168.23.89,40,10,123,40,1,0,11,30,0,0,1,0
0.828,156.154.78.143,192.168.23.89,27,74,385970,13,2,73,2,17,0,0,1,0
0.828,135.148.73.234,192.168.23.89,186,12,255505,40,1,0,58,133,0,0,1,0
0.828,49.235.37.144,192.168.23.89,112,126,179,1853,44,60,26,95,0,0,1,0
0.828,73.112.86.102,192.168.23.89,32,12,5,80,1,0,9,24,0,0,1,0
0.828,151.139.128.11,192.168.23.89,40,10,7,40,2,0,10,30,0,0,1,0
0.828,59.37.116.141,192.168.23.89,37,87,264830,8,1,87,6,16,0,0,0,1
0.828,185.1.74.7,192.168.23.89,28,74,5,4,1,76,3,19,0,0,1,0
0.828,202.28.194.163,192.168.23.89,36,194,15,2475,8,60,12,25,0,0,1,0
0.828,54.39.201.103,192.168.23.89,96,12,946,40,1,0,24,69,0,0,1,0
0.828,51.255.20.94,192.168.23.89,32,10,6,40,1,0,12,24,0,0,1,0
0.828,198.50.224.235,192.168.23.89,36,10,2,40,1,0,11,27,0,0,1,0
0.828,192.99.65.139,192.168.23.89,144,10,474,40,1,0,42,107,0,0,1,0
0.828,76.219.168.7,192.168.23.89,64,10,105,40,1,0,20,48,0,0,1,0
0.828,192.168.23.89,220.177.92.227,48,88,10,0,65,88,11,48,0,0,1,0
0.828,220.177.92.227,192.168.23.89,50,111,2213,1301,65,60,11,48,0,0,1,0
0.828,104.153.108.185,192.168.23.89,42,23,62687,40,7,0,4,24,0,0,1,0
0.828,106.53.115.29,192.168.23.89,55,128,319,1933,37,60,17,48,0,0,1,0
0.828,144.172.73.16,192.168.23.89,34,12,461,40,2,0,9,24,0,0,1,0
0.828,193.36.118.12,192.168.23.89,36,72,0,12,1,73,13,14,0,0,0,1
0.828,145.102.6.121,192.168.23.89,39,75,914010,7,1,75,4,17,0,0,0,1
0.828,73.189.183.167,192.168.23.89,50,115,1997,1405,45,60,13,48,0,0,1,0
0.828,192.168.23.89,119.28.83.164,38,159,241,2192,62,88,9,34,0,0,1,0
0.828,192.168.23.89,87.184.40.174,28,150,445,264,213,88,7,21,0,0,1,0
0.828,74.63.17.242,192.168.23.89,26,78,15,30,1,73,1,15,0,0,1,0
0.823,145.102.6.77,192.168.23.89,69,70,259760,9,1,69,10,24,0,0,0,2
0.823,123.129.192.13,192.168.23.89,85,75,370512,13,1,73,19,36,0,0,0,2
0.823,114.245.243.18,192.168.23.89,111,126,686512,1977,69,60,14,96,0,0,2,0
0.823,31.210.20.24,192.168.23.89,34,212,55,2415,50,60,5,25,0,0,2,0
0.823,13.57.180.85,192.168.23.89,51,81,20801,12,1,80,3,25,0,0,0,2
0.823,192.168.23.89,157.230.210.84,42,226,220,1944,208,88,7,39,0,0,2,0
0.823,167.114.124.76,192.168.23.89,178,13,2349,40,1,0,48,127,0,0,2,0
0.823,74.91.124.73,192.168.23.89,24,10,10,40,1,0,7,18,0,0,2,0
0.823,192.168.23.89,49.233.77.12,102,162,268,2564,85,88,15,99,0,0,2,0
0.823,192.168.23.89,27.128.236.189,114,140,162,2036,80,88,19,106,0,0,2,0
0.823,157.230.109.64,192.168.23.89,155,128,548,1873,73,60,25,131,0,0,2,0
0.823,117.50.64.208,192.168.23.89,170,117,309,1293,61,60,22,144,0,0,2,0
0.823,192.168.23.89,179.97.86.254,137,133,146,2120,68,88,23,134,0,0,2,0
0.823,192.168.23.89,118.24.134.15,65,177,153,2152,136,88,11,60,0,0,2,0
0.823,192.168.23.89,106.54.72.65,38,238,458,1984,222,88,6,35,0,0,2,0
0.823,192.168.23.89,114.245.243.18,96,115,90,1328,69,88,14,94,0,0,2,0
0.823,192.168.23.89,180.215.194.20,91,150,125,2032,102,88,12,88,0,0,2,0
0.823,192.168.23.89,111.231.108.204,93,139,234,2432,75,88,14,90,0,0,2,0
0.823,93.123.16.123,192.168.23.89,22,20,15,40,7,0,5,14,0,0,2,0
0.823,192.168.23.89,182.75.115.59,72,163,136,1820,127,88,11,69,0,0,2,0
0.823,112.26.44.112,192.168.23.89,105,94,157,1957,26,60,15,98,0,0,2,0
0.823,190.98.203.195,192.168.23.89,110,124,473,1877,71,60,18,96,0,0,2,0
0.823,192.168.23.89,103.106.250.25,47,214,209,2024,191,88,8,43,0,0,2,0
0.823,2.56.8.129,192.168.23.89,42,13,15,80,1,0,10,30,0,0,2,0
0.823,192.168.23.89,58.211.203.122,91,155,177,2120,84,88,12,88,0,0,2,0
0.823,192.168.23.89,183.232.250.154,46,230,192,2076,183,88,6,40,0,0,2,0
0.823,191.13.251.209,192.168.23.89,115,148,495,1929,81,60,18,94,0,0,2,0
0.823,192.168.23.89,103.41.106.197,88,164,118,2124,103,88,12,82,0,0,2,0
0.823,192.168.23.89,91.185.40.251,94,133,145,2120,66,88,17,92,0,0,2,0
0.823,192.168.23.89,119.45.137.244,30,171,529,1272,254,88,5,23,0,0,2,0
0.823,192.168.23.89,111.231.54.33,91,164,318491,2244,76,88,17,75,0,0,2,0
0.823,192.168.23.89,134.209.107.228,93,154,181,2120,91,88,14,90,0,0,2,0
0.823,192.168.23.89,121.4.115.189,92,147,101,1792,91,88,16,70,0,0,2,0
0.823,192.168.23.89,106.12.162.222,94,155,111,1820,82,88,14,80,0,0,2,0
0.823,192.168.23.89,161.35.227.204,48,88,93,0,77,88,9,48,0,0,2,0
0.823,161.35.227.204,192.168.23.89,50,116,1239,1405,77,60,9,48,0,0,2,0
0.823,218.104.225.140,192.168.23.89,56,114,575,1717,77,60,9,48,0,0,2,0
